,playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,cap hit
2222,8475218,2022,Mattias Ekholm,EDM,D,5on5,58,58900.0,1128.0,28.07,0.54,0.48,0.52,0.48,0.52,0.48,169.0,84.18,4.48,4.91,21.61,2.76,50.97,37.27,4.3,4.49,4.31,6.0,2.0,88.0,34.0,59.0,181.0,12.0,4.0,6.0,2.0,28.0,3.0,34.0,47.0,84.0,118.0,9.0,18.0,0.0,55.0,12.0,23.0,114.0,4.0,4.0,2.58,0.62,1.28,2.0,0.0,2.0,180.57,122.0,121.84,16.0,0.99,1.65,1.57,3.88,3.87,3.8,1128.0,95.0,143.0,179.0,711.0,170.0,126.0,118.0,714.0,0.0,0.0,107790.0,18.0,10.0,5.0,55.0,512.27,50.73,48.12,50.75,48.12,500.0,203.0,260.0,963.0,34.0,53.0,10.0,497.0,150.0,56.0,16.01,18.76,15.96,11.0,8.0,15.0,964.28,703.0,703.31,7.38,12.73,13.13,44.99,44.85,43.8,468.44,42.62,41.12,42.93,41.42,468.0,175.0,229.0,872.0,35.0,42.0,4.0,464.0,140.0,39.0,14.23,17.88,10.51,7.0,19.0,9.0,870.14,643.0,640.93,6.54,8.67,8.77,40.4,40.6,39.76,85.19,91.97,1707.0,1852.0,2.82,0.47,70.0,9.0,53.0,8.0,"6,000,000"
2232,8478502,2022,Dennis Gilbert,CGY,D,5on5,18,12087.0,303.0,6.3,0.56,0.58,0.56,0.6,0.56,0.61,107.0,12.11,0.3,0.61,3.44,0.42,7.49,5.74,0.29,0.32,0.31,1.0,2.0,12.0,6.0,12.0,30.0,4.0,1.0,1.0,0.0,2.0,0.0,7.0,7.0,11.0,17.0,6.0,27.0,0.0,40.0,2.0,4.0,18.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,30.41,18.0,18.34,3.0,0.12,0.05,0.0,0.42,0.44,0.43,303.0,28.0,10.0,24.0,241.0,51.0,44.0,22.0,186.0,0.0,0.0,39883.0,27.0,27.0,6.0,18.0,103.64,9.11,8.81,9.28,8.99,99.0,42.0,59.0,200.0,5.0,8.0,0.0,103.0,28.0,10.0,2.81,3.47,2.83,3.0,2.0,0.0,202.71,141.0,142.51,1.35,1.96,2.29,8.17,8.38,8.26,80.49,7.23,7.01,7.07,6.84,72.0,38.0,47.0,157.0,7.0,10.0,2.0,79.0,26.0,5.0,2.35,3.44,1.44,3.0,3.0,1.0,153.49,110.0,107.68,1.06,1.77,1.77,6.52,6.36,6.31,33.81,24.08,762.0,498.0,1.09,0.09,32.0,4.0,26.0,2.0,"762,500"
2237,8477244,2022,Chad Ruhwedel,PIT,D,5on5,37,27298.0,640.0,7.97,0.53,0.51,0.53,0.51,0.53,0.51,206.0,31.95,1.31,1.79,9.53,1.03,18.93,13.42,1.25,1.29,1.23,1.0,3.0,28.0,18.0,32.0,78.0,4.0,0.0,3.0,0.0,8.0,0.0,18.0,17.0,28.0,46.0,5.0,10.0,0.0,61.0,10.0,5.0,43.0,2.0,1.0,0.79,0.25,0.27,0.0,0.0,0.0,76.88,46.0,45.43,5.0,0.36,0.58,0.27,1.4,1.37,1.33,640.0,60.0,54.0,67.0,459.0,98.0,96.0,65.0,381.0,0.0,0.0,81489.0,10.0,2.0,1.0,26.0,255.38,24.09,23.14,23.98,23.05,259.0,88.0,125.0,472.0,19.0,28.0,3.0,239.0,76.0,32.0,6.36,9.09,8.64,8.0,6.0,5.0,470.97,347.0,346.63,3.59,7.01,6.67,21.01,20.9,20.52,228.85,21.27,20.45,21.49,20.66,238.0,75.0,111.0,424.0,21.0,24.0,2.0,217.0,79.0,17.0,6.36,10.13,4.78,6.0,11.0,4.0,429.38,313.0,316.38,3.31,4.27,4.27,20.32,20.48,20.15,66.33,64.44,1410.0,1350.0,1.93,0.0,44.0,0.0,34.0,0.0,"800,000"
2262,8475797,2022,Jarred Tinordi,CHI,D,5on5,30,26010.0,554.0,-1.7,0.41,0.42,0.4,0.44,0.4,0.44,138.0,22.42,0.72,1.16,6.28,0.84,13.63,10.37,0.71,0.71,0.7,0.0,4.0,19.0,14.0,18.0,51.0,6.0,2.0,1.0,0.0,3.0,1.0,13.0,13.0,17.0,31.0,10.0,29.0,0.0,92.0,7.0,9.0,31.0,2.0,0.0,0.46,0.26,0.0,1.0,1.0,0.0,49.36,33.0,32.18,7.0,0.23,0.1,0.0,0.95,0.94,0.92,554.0,24.0,76.0,104.0,350.0,72.0,78.0,73.0,331.0,0.0,0.0,63638.0,29.0,23.0,7.0,34.0,147.46,12.84,12.57,12.72,12.44,140.0,65.0,79.0,284.0,11.0,11.0,2.0,153.0,37.0,15.0,3.88,4.88,4.07,2.0,3.0,6.0,275.74,205.0,200.37,2.03,2.35,2.35,12.52,12.38,12.28,220.44,18.78,18.23,19.38,18.82,226.0,82.0,115.0,423.0,22.0,15.0,1.0,232.0,60.0,16.0,7.1,7.08,4.6,10.0,11.0,1.0,442.81,308.0,320.87,3.1,3.3,3.3,18.58,19.15,18.74,37.98,51.66,836.0,1068.0,1.97,0.0,36.0,3.0,26.0,0.0,"900,000"
2317,8474578,2022,Erik Karlsson,SJS,D,5on5,62,78077.0,1364.0,81.77,0.54,0.5,0.55,0.45,0.54,0.46,78.0,112.54,5.82,6.73,30.48,3.79,66.69,48.49,5.72,5.73,5.63,25.0,15.0,118.0,44.0,115.0,277.0,51.0,11.0,13.0,0.0,30.0,3.0,44.0,61.0,107.0,151.0,5.0,10.0,0.0,25.0,54.0,66.0,149.0,11.0,2.0,3.86,1.45,0.52,10.0,1.0,0.0,274.77,162.0,160.16,40.0,1.37,3.14,0.77,6.41,6.34,6.23,1364.0,194.0,114.0,239.0,817.0,67.0,210.0,213.0,874.0,0.0,1.0,105847.0,10.0,22.0,11.0,57.0,724.65,68.76,66.18,68.61,66.03,725.0,282.0,364.0,1371.0,79.0,71.0,12.0,722.0,213.0,72.0,23.28,26.04,19.43,35.0,31.0,13.0,1358.9,1007.0,999.08,10.57,14.06,13.97,65.36,65.15,63.91,616.1,58.63,56.61,59.53,57.49,615.0,235.0,280.0,1130.0,64.0,55.0,7.0,605.0,187.0,58.0,19.69,23.42,15.52,28.0,25.0,11.0,1149.22,850.0,863.98,8.97,10.36,10.1,57.5,58.4,57.43,76.97,76.09,1463.0,1755.0,5.12,0.3,84.0,11.0,71.0,8.0,"11,500,000"
2337,8480823,2022,Alexander Alexeyev,WSH,D,5on5,13,11148.0,227.0,0.05,0.44,0.52,0.42,0.51,0.43,0.49,62.0,13.18,0.42,0.79,3.57,0.45,8.43,6.34,0.41,0.43,0.43,0.0,2.0,10.0,10.0,8.0,28.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,13.0,10.0,20.0,0.0,0.0,0.0,15.0,2.0,4.0,20.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,28.7,20.0,20.4,3.0,0.16,0.25,0.0,0.57,0.59,0.59,227.0,9.0,22.0,28.0,168.0,36.0,35.0,25.0,131.0,0.0,0.0,27592.0,0.0,2.0,1.0,17.0,75.48,5.5,5.36,5.72,5.57,71.0,35.0,31.0,137.0,6.0,8.0,2.0,85.0,16.0,5.0,2.23,1.91,1.36,1.0,4.0,1.0,140.26,106.0,108.36,0.99,1.43,1.43,5.06,5.28,5.2,99.95,6.97,6.86,6.83,6.71,98.0,45.0,49.0,192.0,9.0,2.0,2.0,118.0,24.0,1.0,3.8,2.87,0.3,5.0,3.0,1.0,188.87,143.0,140.36,1.32,0.44,0.44,7.86,7.69,7.58,19.78,18.26,447.0,432.0,0.24,0.3,14.0,2.0,9.0,2.0,"863,333"
2367,8475181,2022,Nick Leddy,STL,D,5on5,57,64511.0,1367.0,11.1,0.46,0.45,0.47,0.46,0.47,0.46,125.0,60.88,3.14,3.51,16.16,1.95,36.46,26.78,3.02,3.13,3.02,8.0,5.0,60.0,28.0,32.0,120.0,15.0,2.0,6.0,0.0,13.0,3.0,33.0,31.0,58.0,86.0,8.0,16.0,0.0,33.0,34.0,26.0,77.0,10.0,1.0,1.7,1.09,0.36,2.0,0.0,0.0,119.56,88.0,87.85,21.0,0.7,0.94,0.36,3.49,3.5,3.42,1367.0,92.0,165.0,268.0,842.0,208.0,165.0,179.0,815.0,0.0,0.0,107202.0,16.0,18.0,9.0,58.0,484.38,41.71,40.39,41.65,40.34,472.0,192.0,220.0,884.0,45.0,38.0,5.0,494.0,132.0,38.0,15.49,16.23,9.99,28.0,9.0,8.0,878.45,664.0,661.06,6.76,7.97,7.97,40.5,40.45,39.89,552.09,48.75,46.66,49.27,47.16,554.0,210.0,250.0,1014.0,54.0,55.0,10.0,569.0,150.0,45.0,17.41,18.64,12.71,22.0,19.0,13.0,1026.57,764.0,771.49,7.76,10.83,10.83,45.68,46.1,45.17,68.72,85.55,1460.0,1728.0,4.6,0.49,96.0,11.0,68.0,11.0,"4,000,000"
2427,8480043,2022,Timothy Liljegren,TOR,D,5on5,50,48543.0,1056.0,22.13,0.57,0.54,0.51,0.51,0.52,0.52,194.0,52.1,2.39,3.04,14.38,1.8,31.45,21.94,2.28,2.39,2.3,3.0,3.0,57.0,18.0,31.0,106.0,10.0,4.0,0.0,1.0,12.0,3.0,27.0,29.0,53.0,71.0,12.0,26.0,0.0,68.0,7.0,26.0,70.0,4.0,1.0,1.49,0.55,0.35,3.0,0.0,1.0,109.21,75.0,76.53,24.0,0.61,0.0,0.45,2.54,2.58,2.51,1056.0,84.0,97.0,172.0,703.0,119.0,142.0,94.0,701.0,0.0,0.0,99122.0,26.0,10.0,5.0,66.0,439.51,43.34,41.45,43.75,41.88,448.0,152.0,180.0,780.0,39.0,38.0,4.0,408.0,141.0,51.0,11.8,17.58,13.96,17.0,14.0,8.0,799.97,600.0,610.67,6.37,8.44,8.37,41.34,41.82,40.78,395.31,33.09,31.7,32.97,31.59,390.0,155.0,198.0,743.0,21.0,34.0,0.0,390.0,130.0,25.0,10.82,15.53,6.74,8.0,12.0,1.0,727.91,545.0,538.16,5.59,5.91,6.32,32.37,32.35,31.54,79.51,66.5,1524.0,1463.0,6.49,0.06,105.0,2.0,78.0,1.0,"1,400,000"
2432,8475179,2022,Dmitry Kulikov,ANA,D,5on5,61,60730.0,1201.0,2.0,0.38,0.41,0.42,0.43,0.4,0.43,201.0,59.71,2.52,3.7,16.1,2.06,36.01,26.6,2.42,2.44,2.35,7.0,4.0,71.0,16.0,41.0,128.0,14.0,3.0,3.0,0.0,15.0,1.0,29.0,36.0,68.0,84.0,9.0,18.0,0.0,77.0,13.0,35.0,81.0,5.0,1.0,1.75,0.47,0.3,2.0,1.0,0.0,124.18,87.0,84.78,32.0,0.74,1.23,0.41,2.86,2.8,2.73,1201.0,94.0,168.0,232.0,707.0,138.0,150.0,185.0,728.0,0.0,0.0,119597.0,18.0,12.0,6.0,70.0,432.01,34.75,33.85,34.61,33.71,442.0,152.0,217.0,811.0,39.0,36.0,4.0,449.0,118.0,27.0,12.95,14.3,7.51,17.0,18.0,4.0,788.94,594.0,582.82,5.79,6.31,6.31,34.24,33.95,33.54,626.15,56.91,54.26,57.94,55.28,645.0,229.0,237.0,1111.0,57.0,72.0,6.0,629.0,186.0,59.0,18.95,22.44,15.52,22.0,26.0,9.0,1150.23,874.0,898.92,8.92,14.67,14.67,51.16,52.19,51.01,76.16,111.7,1681.0,2213.0,2.87,0.5,70.0,12.0,57.0,11.0,"2,250,000"
2442,8475167,2022,Victor Hedman,TBL,D,5on5,58,64562.0,1238.0,45.42,0.51,0.53,0.51,0.52,0.51,0.52,112.0,119.53,4.92,6.81,31.25,3.86,70.63,53.54,4.79,4.94,4.81,8.0,9.0,113.0,58.0,65.0,236.0,22.0,5.0,10.0,0.0,25.0,5.0,66.0,60.0,108.0,166.0,10.0,20.0,0.0,63.0,30.0,47.0,163.0,8.0,0.0,3.92,1.0,0.0,5.0,0.0,0.0,238.09,171.0,172.12,33.0,1.36,1.8,0.37,5.92,5.92,5.79,1238.0,143.0,103.0,234.0,758.0,124.0,185.0,199.0,730.0,0.0,0.0,104554.0,20.0,18.0,9.0,80.0,604.92,56.57,53.96,56.88,54.28,583.0,250.0,261.0,1094.0,50.0,71.0,11.0,591.0,191.0,51.0,18.51,23.86,14.2,18.0,19.0,13.0,1107.43,833.0,839.46,8.61,14.04,13.86,51.33,51.59,50.6,575.95,54.34,51.65,54.3,51.62,607.0,189.0,256.0,1052.0,42.0,62.0,5.0,568.0,171.0,57.0,16.81,20.94,16.6,15.0,17.0,10.0,1045.97,796.0,793.07,8.21,12.85,12.52,50.03,50.13,49.26,84.22,73.29,1615.0,1507.0,3.65,0.65,61.0,16.0,47.0,12.0,"7,875,000"
2472,8477498,2022,Darnell Nurse,EDM,D,5on5,62,71235.0,1260.0,41.73,0.53,0.55,0.52,0.52,0.51,0.52,89.0,125.14,5.57,6.9,33.44,4.15,71.72,56.21,5.44,5.63,5.49,11.0,9.0,131.0,47.0,96.0,274.0,24.0,4.0,11.0,0.0,31.0,5.0,55.0,72.0,127.0,174.0,21.0,47.0,0.0,96.0,25.0,51.0,167.0,9.0,2.0,3.88,1.22,0.47,2.0,2.0,0.0,278.41,178.0,180.49,39.0,1.38,1.75,0.73,6.21,6.29,6.19,1260.0,115.0,158.0,254.0,733.0,215.0,152.0,202.0,691.0,0.0,0.0,108798.0,47.0,21.0,9.0,81.0,627.81,56.19,54.43,56.74,54.98,623.0,239.0,301.0,1163.0,58.0,50.0,6.0,606.0,209.0,47.0,18.46,25.47,12.26,26.0,25.0,7.0,1175.47,862.0,871.78,8.83,9.74,9.34,55.69,56.26,55.3,610.68,49.82,48.69,49.81,48.69,594.0,245.0,241.0,1080.0,53.0,45.0,8.0,638.0,161.0,40.0,19.44,18.96,11.41,22.0,20.0,11.0,1074.2,839.0,835.58,8.2,8.49,8.7,49.32,49.28,48.62,86.69,71.78,1714.0,1585.0,4.03,0.56,64.0,11.0,51.0,9.0,"9,250,000"
2482,8477938,2022,Haydn Fleury,TBL,D,5on5,23,15573.0,363.0,1.55,0.47,0.56,0.46,0.52,0.46,0.53,135.0,23.97,0.89,1.3,6.68,0.81,14.46,10.87,0.86,0.9,0.87,0.0,1.0,21.0,14.0,16.0,51.0,1.0,0.0,2.0,0.0,12.0,0.0,11.0,10.0,21.0,35.0,1.0,2.0,0.0,23.0,2.0,6.0,34.0,1.0,0.0,0.79,0.1,0.0,0.0,0.0,0.0,52.66,35.0,35.68,5.0,0.26,0.46,0.06,1.09,1.11,1.08,363.0,24.0,29.0,49.0,261.0,51.0,63.0,37.0,212.0,0.0,0.0,50533.0,2.0,12.0,6.0,18.0,113.87,9.69,9.45,9.83,9.58,105.0,54.0,54.0,213.0,6.0,6.0,1.0,118.0,33.0,8.0,3.67,3.94,2.09,2.0,2.0,2.0,218.11,159.0,161.89,1.53,1.11,1.11,10.12,10.27,10.08,133.03,10.75,10.5,10.71,10.46,132.0,55.0,59.0,246.0,12.0,9.0,2.0,142.0,35.0,10.0,3.94,4.06,2.75,5.0,4.0,3.0,244.65,187.0,185.64,1.84,2.18,2.2,10.4,10.29,10.21,44.61,35.64,803.0,748.0,3.3,0.06,40.0,2.0,33.0,2.0,"762,500"
2487,8476372,2022,Nick Seeler,PHI,D,5on5,59,48135.0,1127.0,13.32,0.5,0.45,0.47,0.47,0.51,0.47,317.0,52.35,1.72,3.17,15.72,1.97,31.54,21.88,1.67,1.71,1.65,4.0,2.0,62.0,14.0,44.0,120.0,9.0,3.0,1.0,0.0,17.0,0.0,33.0,22.0,59.0,73.0,15.0,42.0,0.0,91.0,3.0,15.0,72.0,4.0,0.0,1.23,0.49,0.0,3.0,0.0,0.0,119.6,76.0,75.49,14.0,0.63,0.38,0.34,2.01,2.01,1.96,1127.0,93.0,112.0,128.0,794.0,142.0,161.0,119.0,705.0,0.0,0.0,127241.0,42.0,42.0,15.0,100.0,392.47,31.46,30.54,31.59,30.66,402.0,139.0,175.0,716.0,33.0,28.0,5.0,408.0,102.0,31.0,11.02,12.13,8.31,13.0,11.0,9.0,708.98,541.0,536.7,5.3,5.52,5.52,31.23,31.2,30.75,366.32,30.97,29.97,31.38,30.35,351.0,164.0,277.0,792.0,34.0,21.0,4.0,394.0,93.0,28.0,11.4,12.06,7.51,15.0,13.0,6.0,806.08,515.0,523.36,4.98,4.58,4.92,31.02,31.33,30.83,83.4,102.66,1852.0,2116.0,3.01,0.43,83.0,8.0,67.0,7.0,"775,000"
2497,8480873,2022,Rasmus Sandin,TOR,D,5on5,52,48732.0,1022.0,27.1,0.58,0.53,0.54,0.51,0.54,0.51,208.0,48.52,2.35,2.81,13.63,1.6,29.06,20.55,2.28,2.39,2.32,1.0,7.0,53.0,17.0,37.0,107.0,12.0,4.0,0.0,0.0,18.0,2.0,19.0,27.0,49.0,66.0,10.0,23.0,0.0,111.0,17.0,36.0,64.0,4.0,2.0,1.45,0.46,0.44,3.0,0.0,1.0,108.92,70.0,70.71,26.0,0.57,0.0,0.05,2.87,2.91,2.83,1022.0,80.0,76.0,135.0,731.0,109.0,166.0,98.0,649.0,0.0,0.0,103029.0,23.0,19.0,7.0,48.0,458.8,46.4,44.74,47.02,45.32,450.0,178.0,198.0,826.0,38.0,48.0,6.0,420.0,158.0,50.0,12.51,20.06,13.82,17.0,12.0,9.0,844.3,628.0,637.49,6.75,10.39,9.83,43.3,43.82,43.02,389.45,34.17,33.1,33.88,32.82,385.0,149.0,174.0,708.0,25.0,41.0,4.0,395.0,103.0,36.0,11.22,12.47,10.47,8.0,11.0,6.0,696.17,534.0,529.35,5.42,8.74,8.81,30.78,30.68,30.26,80.84,71.49,1595.0,1560.0,4.04,0.41,83.0,8.0,66.0,7.0,"1,400,000"
2532,8476331,2022,Dylan DeMelo,WPG,D,5on5,54,52747.0,1170.0,18.98,0.51,0.5,0.5,0.51,0.49,0.51,180.0,57.37,2.69,3.37,15.85,1.88,35.47,24.75,2.61,2.71,2.63,6.0,8.0,54.0,30.0,40.0,124.0,14.0,0.0,4.0,0.0,15.0,2.0,35.0,28.0,54.0,84.0,14.0,28.0,0.0,90.0,13.0,30.0,78.0,4.0,2.0,1.56,0.5,0.63,0.0,0.0,0.0,125.63,84.0,85.23,27.0,0.67,0.53,0.43,2.94,2.98,2.92,1170.0,126.0,132.0,182.0,730.0,167.0,119.0,135.0,749.0,0.0,0.0,104756.0,28.0,22.0,10.0,53.0,426.37,37.42,35.84,37.63,36.07,404.0,192.0,222.0,818.0,39.0,44.0,6.0,449.0,110.0,37.0,13.77,13.69,9.96,20.0,14.0,5.0,828.8,596.0,603.67,5.99,8.26,8.26,35.15,35.52,34.92,433.05,35.8,34.45,35.27,33.95,445.0,163.0,218.0,826.0,37.0,28.0,7.0,470.0,112.0,26.0,14.59,13.6,7.61,15.0,15.0,7.0,816.06,608.0,599.72,5.9,6.53,6.53,35.16,34.7,34.07,79.28,79.72,1640.0,1547.0,2.84,0.16,73.0,6.0,61.0,4.0,"3,000,000"
2537,8474031,2022,Kevin Shattenkirk,ANA,D,5on5,55,49278.0,984.0,10.15,0.42,0.38,0.44,0.41,0.44,0.4,228.0,75.51,2.58,3.72,19.67,2.45,40.08,35.5,2.52,2.52,2.47,6.0,5.0,83.0,21.0,55.0,159.0,13.0,2.0,8.0,0.0,14.0,1.0,30.0,49.0,81.0,102.0,20.0,40.0,0.0,60.0,20.0,20.0,96.0,8.0,0.0,1.7,0.88,0.0,2.0,0.0,0.0,153.78,104.0,101.96,17.0,0.75,1.0,0.22,3.11,3.05,3.01,984.0,76.0,127.0,164.0,617.0,134.0,176.0,129.0,545.0,0.0,0.0,112662.0,40.0,8.0,4.0,66.0,397.03,31.56,30.43,31.24,30.1,403.0,142.0,183.0,728.0,35.0,38.0,5.0,415.0,105.0,25.0,11.5,13.16,6.91,17.0,10.0,8.0,707.52,545.0,534.51,5.18,6.64,6.64,30.11,29.66,29.09,496.66,44.0,42.46,45.02,43.42,509.0,189.0,234.0,932.0,46.0,53.0,3.0,515.0,147.0,36.0,16.04,18.28,9.68,20.0,22.0,4.0,969.27,698.0,720.26,7.19,8.84,8.84,42.36,43.32,42.42,65.95,106.35,1450.0,2093.0,2.34,0.11,53.0,4.0,40.0,4.0,"3,900,000"
2547,8470613,2022,Brent Burns,CAR,D,5on5,59,60618.0,1230.0,69.66,0.63,0.59,0.61,0.59,0.6,0.59,195.0,129.07,4.74,7.47,37.4,4.34,79.22,55.83,4.51,4.79,4.56,9.0,5.0,129.0,60.0,89.0,278.0,22.0,8.0,15.0,0.0,28.0,2.0,70.0,66.0,121.0,181.0,16.0,32.0,0.0,28.0,27.0,26.0,181.0,7.0,1.0,3.75,0.77,0.21,6.0,2.0,0.0,283.29,189.0,191.8,14.0,1.51,3.65,0.61,5.64,5.7,5.45,1230.0,176.0,100.0,200.0,754.0,179.0,172.0,197.0,682.0,0.0,0.0,111501.0,32.0,14.0,6.0,43.0,634.86,56.84,53.87,57.86,54.83,620.0,273.0,299.0,1192.0,49.0,77.0,8.0,665.0,165.0,63.0,19.23,19.84,17.77,20.0,17.0,12.0,1224.83,893.0,913.16,9.11,15.72,15.92,50.03,50.97,49.61,426.07,33.63,32.54,33.15,32.09,427.0,164.0,156.0,747.0,33.0,34.0,0.0,446.0,119.0,26.0,12.32,13.77,7.54,18.0,12.0,3.0,727.68,591.0,579.12,5.79,6.23,6.23,33.18,32.77,32.33,92.18,63.48,1959.0,1354.0,3.03,0.66,69.0,11.0,52.0,8.0,"5,280,000"
2552,8470966,2022,Mark Giordano,TOR,D,5on5,62,59896.0,1307.0,30.3,0.57,0.53,0.52,0.51,0.54,0.52,238.0,78.77,2.63,4.38,22.16,2.59,49.36,33.88,2.55,2.62,2.54,7.0,10.0,84.0,31.0,55.0,170.0,19.0,2.0,5.0,0.0,28.0,2.0,35.0,43.0,82.0,113.0,19.0,41.0,0.0,42.0,17.0,28.0,111.0,3.0,1.0,2.04,0.33,0.26,1.0,1.0,0.0,171.5,115.0,115.63,25.0,0.86,0.88,0.42,3.07,3.08,2.99,1307.0,91.0,139.0,197.0,880.0,182.0,169.0,140.0,816.0,0.0,0.0,121560.0,41.0,15.0,6.0,90.0,540.48,52.58,50.25,53.13,50.83,532.0,211.0,220.0,963.0,45.0,44.0,7.0,517.0,172.0,54.0,15.49,21.62,15.47,14.0,18.0,13.0,981.29,743.0,753.33,7.85,9.83,10.04,50.39,50.99,49.86,459.16,40.34,38.34,40.1,38.11,435.0,199.0,260.0,894.0,29.0,36.0,5.0,464.0,135.0,35.0,13.33,17.06,9.94,15.0,10.0,4.0,877.66,634.0,624.88,6.37,7.36,7.49,39.21,38.97,37.88,97.09,84.62,1894.0,1811.0,4.79,0.14,88.0,9.0,72.0,6.0,"800,000"
